JOB TITLE,LOCATION,DISCIPLINE,EMPLOYMENT TYPE,Link,Qualifications,RESPONSIBILITIES,BASIC QUALIFICATIONS,PREFERRED SKILLS AND EXPERIENCE,ADDITIONAL REQUIREMENTS,COMPENSATION AND BENEFITS
Customs Analyst - Philippines,Philippines,Legal,Full-Time,https://boards.greenhouse.io/spacex/jobs/6881619002?gh_jid=6881619002,"College/university degree
5+ years of experience with international trade compliance
Fluency in English and another Asian language
Current residency and work authorization in the Philippines","Manage all import brokerage operations within the region, including but not limited to, import permits, authorizations to ship, signatures and audits Communicate with customs authorities in region to support import operations Work with other departments, including Finance, Logistics, and business teams to devise and implement strategic plans to optimize import activities in region Retain applicable import records according to local requirements Support the selection and management of customs brokers in the AP region Assist with onboarding new entities to import into the region Obtain import data from providers and the government to support import tax reclamations and duty mitigation opportunities Monitor import compliance changes in the region and communicate relevant changes to appropriate teams Participate in internal compliance audits for the region",College/university degree 5+ years of experience with international trade compliance Fluency in English and another Asian language Current residency and work authorization in the Philippines,Comprehensive and up-to-date knowledge of customs laws and requirements in more than one country in the Asia Pacific region Experience with customs clearance in the Philippines Prior international assignments or projects Knowledge of the aerospace and/or telecommunications industry Proven ability to work independently in a fast-paced environment Creative and proactive problem solver Proficiency in Tagalog or Malay,"Willingness to travel approximately 50% of the time SpaceX does not yet have regional offices in all regions of the world. Dependent on candidate identified, this role may not work from a SpaceX office  SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status.",
Customs Operations Specialist,"Hawthorne, CA",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/7028077002?gh_jid=7028077002,"Bachelor's degree
4+ of experience working with U.S. Customs and/or other international trade regulatory agencies","Manage daily import activities including daily interaction with customs brokers, vendors, couriers and freight forwarders Tasked with determining import and export classifications, including country/regional specific harmonized tariff configurations Work with various importing requirements and government agencies such as FDA, EPA, AD/CVD, Section 201,301,232, quotas and Free Trade Agreements Monitor Foreign Trade Zones (FTZ) operations end to end to include daily processing zone transactions Prepare and submit required weekly, monthly, quarterly, and annual documentation and forms to U.S. Customs and Border Protection (CBP) in a timely manner Validate Foreign Trade Zones data against actual documentation as needed to ensure accuracy of integration and information Analyze and review weekly estimated entry (CF3461) and customs entry (CF7501, CF7512) Reconcile inventory records between internal and third party Foreign Trade Zones system Conduct reviews/audits of all Foreign Trade Zones records while ensuring accurate and complete record keeping are maintained for Foreign Trade Zones movements Support duty drawback claims and record keeping pertaining to drawback files Conduct document reviews and audits customs entries while ensuring accurate and complete record keeping are maintained per regulations   Monitor U.S. imports to ensure timely clearance and resolve problems as necessary Support commercial invoice documentation review in supporting outbound shipping requests as needed",Bachelor's degree 4+ of experience working with U.S. Customs and/or other international trade regulatory agencies,"Experience working with U.S. Foreign Trade Zones program including compliance and best practices Knowledge of U.S. Customs Regulations and Harmonized Tariff Schedule (HTS) classification, and duty drawback Experience in managing duty drawback programs Experience evaluating Federal Transit Administration/Foreign Trade Zones as well as establishment and implementation of import/export compliance programs Exceptional analytical, problem solving, and organizational skills Effective written, verbal and presentation communication skills Individual negotiation skills with the ability to influence Detail-oriented, self-motivated and able to respond quickly to a fast-moving and ever-changing environment","Must be able to work extended hours and/or weekends when needed to meet major milestones  Must be willing to travel up to 5-10% This position is based in Hawthorne, CA and requires being onsite - remote work not considered","Pay Range: Customs Operations Specialist: $75,000.00 - $95,000.00/per year Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
Data and Controls Systems Specialist (Launch Pads),"Cape Canaveral, FL",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/6954781002?gh_jid=6954781002,"High school diploma or equivalency certificate
2+ years of professional experience working with electrical ground support systems, industrial controls, and/or end devices
1+ year(s) of professional experience working around high-pressure gas, cryogenic or hydraulic systems
Experience with training personnel","Create DCS training programs to address skill gaps in the technician workforce Research new teaching methods and conduct surveys to gauge the effectiveness of programs Identify pain points and repeat issues with data and control systems during refurbishment and launch operations and work with engineering to design and implement robust long-term solutions Assist engineering and technician teams with system maintenance and troubleshooting Design, build, and test small to medium upgrades on instrumentation or data acquisition hardware Interact with vendors and drive technical issues to resolution with little oversight Provide innovative solutions to problems while working with minimal supervision Drive efficiency and site-wide commonality into all aspects of ground operations by closely collaborating with engineering staff, management and technicians from multiple departments on a daily basis Create schematics and assist with maintaining up to date electrical GSE documentation using Microsoft Office and other digital recordkeeping software","High school diploma or equivalency certificate 2+ years of professional experience working with electrical ground support systems, industrial controls, and/or end devices 1+ year(s) of professional experience working around high-pressure gas, cryogenic or hydraulic systems Experience with training personnel","1+ year(s) of professional experience working with process multimeters and instrument simulation Excellent interpersonal and communication skills. Ability to rapidly change roles/responsibilities while working in a high-paced, challenging work environment Ability to take project goals, inputs, and work toward the end-goal beyond individual task assignment Ability to read and interpret technical drawings and schematics Familiar working with technical work instructions and ability to gather and organize technical data Collaborate with launch pad engineering and management to develop and document activities 3+ years of experience working with Microsoft Office suite (Visio, Excel, Word, PowerPoint, Outlook) Knowledge of regulatory standards and best practices of GSE Fluid Systems Knowledge of PLC programming, basic software language, TCP/IP networks Basic understanding of electrical circuitry, components, theory","Ability to pass Air Force background check for Cape Canaveral Must be available for all shifts, extended hours, and/or weekends as needed Must be able to lift up to 25 lbs unassisted Must be able to stand for extended periods - 8 hours minimum Willing to travel for short or extended periods Ability to work at elevated heights (scissor lifts, articulated boom lifts, and launch platforms)","Pay range:           DCS Specialist/Level 1: $30.00 - $39.00/hour        DCS Specialist/Level 2: $35.00 - $46.00/hour        DCS Specialist/Level 3: $40.00 - $53.00/hour                                                        Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year.                       "
Deburr Technician,"Hawthorne, CA",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/6748298002?gh_jid=6748298002,"High school diploma or equivalency certificate
1+ years of professional work experience deburring, grinding, or machining metal items or completion of a technical trade program in manufacturing, machining, electronics, automotive or assembly","Grind, file, or sand surfaces of metal items, utilizing a variety of hand tools, power tools, and machines Examine surfaces in order to find defects Remove defects and smooth uneven surfaces Clean and organize work area Install aircraft grade hardware such as STI","High school diploma or equivalency certificate 1+ years of professional work experience deburring, grinding, or machining metal items or completion of a technical trade program in manufacturing, machining, electronics, automotive or assembly","Experience with basic blueprint reading  Able to bench close tolerance dimensions within what the blueprint calls for Experience utilizing various measuring instruments-mics, veneers, ultra-sonic thickness gauges, etc. Able to utilize various grinding equipment - angle head grinders, pencil grinders, straight grinders, and palm sanders","Nominal shift hours: 1st shift (5AM-3:30PM), 2nd shift (3:30PM-2AM) Standing for long periods of time, climbing up and down ladders, bending, grasping, sitting, pulling, pushing, stooping, and stretching are generally required to perform the functions of this position Must be willing to work overtime and or weekends as needed","Pay range:     Deburr Technician /Level 1: $20.00/hour     Deburr Technician /Level 2: $22.00 - $26.00/hour     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year."
Deburr Technician - 2nd Shift,"Redmond, WA",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/7015583002?gh_jid=7015583002,"High school diploma or equivalency certificate
Able to utilize various grinding equipment such as; angle head grinders, pencil grinders, straight grinders, palm sanders, and routers","Grind, file, or sand surfaces of metal items, utilizing a variety of hand tools, power tools, and machines Examine surfaces in order to find defects Remove defects and smooth uneven surfaces Clean and organize work area","High school diploma or equivalency certificate Able to utilize various grinding equipment such as; angle head grinders, pencil grinders, straight grinders, palm sanders, and routers","2+ years of professional work experience deburring, grinding, or machining metal items. Completion of a technical trade program in manufacturing, machining, electronics, automotive, or assembly Ability to read blueprints and complete basic shop math Able to bench close tolerance dimensions within what the blueprint calls for Experience utilizing various measuring instruments-mics, veneers, ultra-sonic thickness gauges, etc. Precision hole drilling, tapping, Counterboring, Countersinking, Reaming","Must be willing to work all shifts, overtime, and weekends as needed. Estimated shift time, 2nd shift: 3:30 PM – 2 AM Must be able to lift up to 25 lbs. unassisted","Pay range:           Deburr Technician/Level 1: $22.00/hour Deburr Technician/Level 2: $24.00 - $28.00/hour                     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Non-exempt Washington employees are eligible for sick leave in accordance with Washington's Sick Leave policies."
Design Development Technician (Starlink),"Redmond, WA",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/7044124002?gh_jid=7044124002,,"Fabricate piece parts to print using machine shop and fabrication equipment Building complex mechanical assemblies to a high standard, which may include, high and low-voltage wiring, and pneumatics Equipment operation including; forklifts, boom lifts, scissor lifts, and tractor trailers, for critical moves/lifts within the facility","High school diploma or equivalency certificate 4+ years of welding experience including AC/DC TIG, MIG (shielded and none shielded) 2+ years of experience in manual machine operations, Milling and Lathe OR 2+ years of experience using fabrication tools; drill press, sanders, hand tools, cutting torch, plasma cutter, material saws","Able to read blueprints and complete basic shop math Able to read and interpret fluid or electrical schematics Able to work independently and problem-solve efficiently with minimal supervision Positive attitude and ability to work well on a team Willingness to provide constructive feedback to the engineering and production teams to improve tooling designs, processes, and parts Able to stay organized with strong attention to detail Precision hole drilling operations Proficient computer skills; comfortable with using email and the Microsoft Office suite CAD design skills using NX to design basic parts Laser tracking Experience","Physical effort including standing, lifting, and carrying equipment up to 25 lbs. unassisted Must be able to work all required shift hours, overtime and/or weekends as needed","Pay range:           Design Development Technician/Level 1: $22.00 - $29.00/hour    Design Development Technician/Level 2: $27.00 - $34.50/hour    Design Development Technician/Level 3: $32.00 - $40.00/hour                       Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Non-exempt Washington employees are eligible for sick leave in accordance with Washington's Sick Leave policies."
Design Reliability Engineer,"Hawthorne, CA",Engineering - Aerospace & Mechanical,Full-Time,https://boards.greenhouse.io/spacex/jobs/6885268002?gh_jid=6885268002,"Bachelor's degree in an engineering discipline
2+ years of professional experience in an engineering role
Hardware experience performing fabrication, assembly, and/or testing - can be in a professional, academic, or recreational setting","Ensure that the SpaceX design process & design criteria/requirements are being followed for flight, launch, and recovery systems Provide critical peer review and approval of hardware designs during design reviews, and of acceptance and qualification test campaigns Develop design criteria, requirements, and verification approaches for new systems Setup new processes to enable reliable aircraft-like operations of launch vehicles and spacecraft Drive improvements to vehicle design by being closely integrated with hardware teams. Review vehicle changes to ensure all hardware and operations are qualified Develop specialized design and analysis tools for other engineering groups","Bachelor's degree in an engineering discipline 2+ years of professional experience in an engineering role Hardware experience performing fabrication, assembly, and/or testing - can be in a professional, academic, or recreational setting","Master's degree in an engineering discipline Experience with aircraft, launch vehicles, spacecraft, or other aerospace systems Experience with at least one commercial FEA package (NASTRAN, ABAQUS, or ANSYS) Hardware ownership on an award-winning engineering project or competition team (FSAE, Design-Build-Fly, NASA Student Launch, etc.) Experience with electromechanical system design, analysis, testing, and fabrication for use in high-performance or safety critical applications Hands on experience with various industry standard manufacturing tools, techniques and processes, including mills, lathes, electronics assembly, composite layup, etc. Experience with material selection and make vs. buy decisions for system components Scripting and data analysis experience using Visual Basic, Matlab, Python and Excel",Must be available to work long hours and weekends as necessary,"Pay Range Design Reliability Engineer/Level I: $95,000 - $115,000/per year Design Reliability Engineer/Level II: $110,000.00 - $130,000.00/per year Your actual level and base salary will be determined on a case-by-case basis. It may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year.      "
Design Verification Engineer (Silicon Engineering),"Irvine, CA",Engineering - Silicon,Full-Time,https://boards.greenhouse.io/spacex/jobs/7046079002?gh_jid=7046079002,"Bachelor’s degree in electrical engineering, computer science or computer engineering
1+ years of professional experience with design verification and test bench development","Responsible for digital ASIC and/or FPGA verification at block and system level Write and review test plans, develop test harnesses and test sequences Develop SystemVerilog testbench infrastructure (both UVM and non-UVM) for testing designs, including DSP blocks  Responsible for test plan execution, running regressions, code and functional coverage closure Automate test case generation by using Python and MATLAB programs  Contribute towards pre-silicon verification, chip bring-up and post-silicon validation Be a hands-on self-starter who can execute the steps required to fully verify a complex digital designs","Bachelor’s degree in electrical engineering, computer science or computer engineering 1+ years of professional experience with design verification and test bench development","Advanced degree in electrical engineering or computer engineering Experience with verification methodologies such as UVM Strong object-oriented programming knowledge Strong problem-solving and coding skills Experience in constrained random verification Expertise in developing test plans, implementing coverage models, and analyzing results Experience with scripting languages, e.g. Python for automation RTL design, chip bring-up, and post-silicon validation experience Ability to work in a dynamic environment with changing needs and requirements",Must be willing to work extended hours and weekends as needed,"Pay range:     Design Verification Engineer/Level I: $130,000.00 - $155,000.00/per year     Design Verification Engineer/Level II: $150,000.00 - $180,000.00/per year     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
Design Verification Engineer (Silicon Engineering),"Sunnyvale, CA",Engineering - Silicon,Full-Time,https://boards.greenhouse.io/spacex/jobs/7046081002?gh_jid=7046081002,"Bachelor’s degree in electrical engineering, computer science or computer engineering
1+ years of professional experience with design verification and test bench development","Responsible for digital ASIC and/or FPGA verification at block and system level Write and review test plans, develop test harnesses and test sequences Develop SystemVerilog testbench infrastructure (both UVM and non-UVM) for testing designs, including DSP blocks  Responsible for test plan execution, running regressions, code and functional coverage closure Automate test case generation by using Python and MATLAB programs  Contribute towards pre-silicon verification, chip bring-up and post-silicon validation Be a hands-on self-starter who can execute the steps required to fully verify a complex digital designs","Bachelor’s degree in electrical engineering, computer science or computer engineering 1+ years of professional experience with design verification and test bench development","Advanced degree in electrical engineering or computer engineering Experience with verification methodologies such as UVM Strong object-oriented programming knowledge Strong problem-solving and coding skills Experience in constrained random verification Expertise in developing test plans, implementing coverage models, and analyzing results Experience with scripting languages, e.g. Python for automation RTL design, chip bring-up, and post-silicon validation experience Ability to work in a dynamic environment with changing needs and requirements",Must be willing to work extended hours and weekends as needed,"Pay range:     Design Verification Engineer/Level I: $130,000.00 - $155,000.00/per year     Design Verification Engineer/Level II: $150,000.00 - $180,000.00/per year     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
Design Verification Engineer (Silicon Engineering),"Redmond, WA",Engineering - Silicon,Full-Time,https://boards.greenhouse.io/spacex/jobs/7046077002?gh_jid=7046077002,"Bachelor’s degree in electrical engineering, computer science or computer engineering
1+ years of experience with design verification and test bench development","Responsible for digital ASIC and/or FPGA verification at block and system level Write and review test plans, develop test harnesses and test sequences Develop SystemVerilog testbench infrastructure (both UVM and non-UVM) for testing designs, including DSP blocks  Responsible for test plan execution, running regressions, code and functional coverage closure Automate test case generation by using Python and MATLAB programs  Contribute towards pre-silicon verification, chip bring-up and post-silicon validation Be a hands-on self-starter who can execute the steps required to fully verify a complex digital designs","Bachelor’s degree in electrical engineering, computer science or computer engineering 1+ years of professional experience with design verification and test bench development","Advanced degree in electrical engineering or computer engineering Experience with verification methodologies such as UVM Strong object-oriented programming knowledge Strong problem-solving and coding skills Experience in constrained random verification Expertise in developing test plans, implementing coverage models, and analyzing results Experience with scripting languages, e.g. Python for automation RTL design, chip bring-up, and post-silicon validation experience Ability to work in a dynamic environment with changing needs and requirements",Must be willing to work extended hours and weekends as needed,"Pay range:     Design Verification Engineer/Level I: $130,000.00 - $155,000.00/per year     Design Verification Engineer/Level II: $150,000.00 - $180,000.00/per year     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short & long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation & will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
Development Technician (Starlink),"Hawthorne, CA",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/6848668002?gh_jid=6848668002,"High school diploma or equivalency certificate
3+ years of experience in mechanical fabrication (component assembly, welding, machining, hand tools, etc.)","Fabricate piece parts to print using machine shop equipment: mill, lathe, etc. Assemble Starlink consumer electronics production equipment to print, including on-assembly fabrication operations Assemble complex integrated assemblies that may include mechanical assembly, high and low voltage wiring, or pneumatics Maintain and run the tooling development lab including shop workflow, tidiness, and inventory Promote 5S principles of organizing and sustaining efficient and presentable team work spaces","High school diploma or equivalency certificate 3+ years of experience in mechanical fabrication (component assembly, welding, machining, hand tools, etc.)","Able to read mechanical and engineering drawings and interpret tolerances (including GD&T) Able to read and interpret fluid or electrical schematics Knowledge/experience with electromechanical systems (harness wiring, stepper motors, solenoids, etc.) Knowledge/experience with fluid and pneumatic connections Able to work independently and problem solve efficiently with minimal supervision Positive attitude and able to work well on a team Willingness to provide constructive feedback to the engineering and production teams to improve tooling designs, processes and parts Able to stay organized with strong attention to detail Proficient computer skills; comfortable with using email and the Microsoft Office suite","Physical effort including standing, lifting, and carrying equipment up to 25 lbs. unassisted Must be available to work extended hours and some weekends","Pay range:           Development Technician/Level 1: $23.00 - $31.00/hour  Development Technician /Level 2: $28.00 - $37.00/hour Development Technician /Level 3: $33.00 - $43.00/hour                      Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k)-retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year.                          "
"Development Technician, Insource Manufacturing (Starlink)","Bastrop, TX",Production,Full-Time,https://boards.greenhouse.io/spacex/jobs/6979041002?gh_jid=6979041002,"High school diploma or equivalency certificate
3+ years of experience in machine maintenance, mechanical builds, equipment assembly/test","Install, commission, and validate manufacturing equipment to support Starlink production - specifically focused on High-Pressure Die Casting, Plastic Injection Molding, and Stamping manufacturing processes. Oversee operator instructions, critical parameters, checklists, and training materials for all molding operations, update special equipment service manuals including BOMs, drawings, wiring schematics, recommended needed processes, technical expertise, and tooling for optimization of production runs Work closely with equipment and manufacturing engineering teams to define requirements Diagnose equipment failures, collect data to identify root causes, and develop sustainable solutions Install, maintain, and troubleshoot relay, ladder diagrams, components, photo-eyes, motor starters, limit switches, proximity sensors, solenoids, etc. Perform preventative and corrective action as required","High school diploma or equivalency certificate 3+ years of experience in machine maintenance, mechanical builds, equipment assembly/test","5+ years of experience with hydraulic/pneumatic and mechanical systems Experience in independently troubleshooting advanced electrical circuits, electronic systems, motors & starters, electrically operated equipment, and making successful repairs and modifications Proficient in excel, office, and word Electrical wiring experience and some knowledge of how PLCs, sensors, and other electrical components are wired and work. Knowledge/experience working with electrical components and/or systems Knowledge/experience with TIG/MIG welding of steel/aluminum Able to read mechanical drawings and interpret tolerances (including GD&T) Proficient with mechanical hand tools","Ability to work at elevated heights occasionally (scissor lifts and articulated boom lifts) Standing, climbing, bending, grasping, sitting, pulling, pushing, stooping, stretching, and carrying are general duties of the job Ability to lift up to 25 Ibs. unassisted Must be willing to work overtime and weekends as necessary to accommodate manufacturing and test campaigns","Pay range:           Development Technician/Level 1: $20.00 - $27.00/hour  Development Technician/Level 2: $25.00 - $32.50/hour  Development Technician/Level 3: $30.00 - $38.00/hour  Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year."
Development Test Engineer,"Hawthorne, CA",Engineering - Aerospace & Mechanical,Full-Time,https://boards.greenhouse.io/spacex/jobs/6793236002?gh_jid=6793236002,,"Create test stand concepts, fabrication drawings, wiring schematics, and instrumentation lists Design and analyze structures, fluid systems, and mechanisms Supervise the integration of test stands including fabrication, mechanical assembly and data/control systems Operate test stands with great attention to detail (tests have very little margin for error, so attention to detail is a crucial and essential characteristic of a development test engineer)",Bachelor's degree in mechanical engineering 1+ years of experience in one or a combination of the following: Involvement with an extracurricular project team designing and building mechanical structures Academic research on mechanical structures Professional experience designing and analyzing mechanical structures,"Master's degree in mechanical engineering or other engineering discipline Understanding and proper application of GD&T Experience with Unigraphics (NX) Experience performing finite element analysis (FEA) Experience with large steel and/or aluminum weldment design and analysis Experience with high pressure (up to 30,000 psi) fluid system design and analysis Hands-on design and fabrication experience Basic programming skills (Python, Javascript, and HTML/CSS preferred) Data acquisition and controls experience Demonstrated ability to drive projects to completion","Must be willing to travel for as needed, up to 25% to other SpaceX sites Ability to work at elevated heights occasionally (scissor lifts and articulated boom lifts) Physical effort including standing, lifting, and carrying equipment up to 25 lbs. unassisted Ability to work in outdoor environments as needed Must be available to work extended hours and some weekends","Pay range:     Development Test Engineer/Level I: $95,000.00 - $115,000.00/per year     Development Test Engineer/Level II: $110,000.00 - $130,000.00/per year     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year."
Development Test Engineer (Starlink),"Redmond, WA",Engineering - Aerospace & Mechanical,Full-Time,https://boards.greenhouse.io/spacex/jobs/7036011002?gh_jid=7036011002,"Bachelor's degree in an engineering discipline 
1+ years of professional experience designing/analyzing mechanical structures and/or electrical control systems","Design, build and analyze mechanical, thermal, and pressure systems for satellite component and assembly-level testing Design, build, and activate data acquisition systems and automated control system for satellite test equipment Develop test requirements with flight engineering team Perform structural, vibration, and thermal analysis using hand calculations and FEA Design of piece part and assembly level 3D CAD models Create and modify software applications to run data acquisition and control systems Create engineering drawings for part fabrication and inspection using GD&T Supervise system level builds including fabrication, mechanical assembly, and data/control systems by working with technicians and vendors Operate test stands with great attention to detail (tests have very little margin for error, so attention to detail is a crucial and essential characteristic of a development test engineer)",Bachelor's degree in an engineering discipline  1+ years of professional experience designing/analyzing mechanical structures and/or electrical control systems,"Experience with the design, build and test of hydraulic, thermal, structural or electromechanical systems Demonstrated understanding of structural and thermal first principles analysis Demonstrated full-cycle ownership of a hardware project from concept to implementation Hands-on experience with testing and data acquisition Experience using test instrumentation and control components: pressure transducers, thermocouples, RTDs, strain gauges, accelerometers, flow meters, load cells, relays, solenoid valves, and encoders Proficiency with Siemens NX, or equivalent 3D modeling software Proficiency with programming and automation/scripting languages (Python, SQL, Matlab) Hands-on experience with common manufacturing processes and shop machines including mills, lathes, manual and CNC",Willing to work extended hours and some weekends if needed,"Pay range:     Mechanical Engineer/Level I: $95,000.00 - $115,000.00/per year     Mechanical Engineer/Level II: $110,000.00 - $130,000.00/per year     Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year.""    "
